POS,UP/DOWN,COUNTRY,PLAYER NAME,TOTAL,THRU,ROUND,R1,R2,R3,R4,STROKES,PROJ,STARTING,UP/DOWN
1,-- ,,Justin Thomas      ,-26,F ,-6,68,61,67,66,262,1,11,10
2,6,,Adam Scott    ,-25,F ,-9,68,66,66,63,263,5,T121 ,116
T3 ,2,,Brendan Steele      ,-24,F ,-4,67,63,66,68,264,8,T41 ,33
T3 ,-- ,,Kevin Na      ,-24,F ,-5,67,66,64,67,264,2,3,1
5,1,,Hideki Matsuyama    ,-22,F ,-5,65,66,68,67,266,11,T41 ,30
6,2,,James Hahn    ,-21,F ,-4,70,65,64,68,267,19,T76 ,57
T7 ,1,,Scott Piercy      ,-19,F ,-3,62,69,69,69,269,18,T52 ,34
T7 ,3,,Brian Harman    ,-19,F ,-2,70,63,66,70,269,28,T96 ,68
9,7,,Tony Finau  ,-18,F ,-6,71,67,66,66,270,10,T21 ,11
T10 ,10,,Charles Howell III  ,-17,F ,-6,66,72,67,66,271,22,T36 ,14
T10 ,6,,Jim Herman  ,-17,F ,-5,70,66,68,67,271,44,110,66
T10 ,-- ,,Patrick Reed    ,-17,F ,-3,68,68,66,69,271,45,T121 ,76
T10 ,-- ,,Patrick Reed    ,-17,F ,-3,68,68,66,69,271,45,T121 ,76
T10 ,-- ,,Ryan Moore      ,-17,F ,-3,67,69,66,69,271,13,T19 ,6
T14 ,8,,Daniel Summerhays      ,-16,F ,-6,71,66,69,66,272,17,T21 ,4
T14 ,-- ,,Cameron Tringale    ,-16,F ,-3,70,68,65,69,272,7,5,2
T14 ,4,,David Lingmerth  ,-16,F ,-2,73,65,64,70,272,56,T121 ,65
T17 ,5,,Branden Grace    ,-15,F ,-5,67,70,69,67,273,60,T121 ,61
T17 ,7,,Stewart Cink    ,-15,F ,-1,68,64,70,71,273,46,T96 ,50
T17 ,3,,Alex Cejka    ,-15,F ,-2,66,71,66,70,273,9,T8 ,1
T17 ,13,,Spencer Levin    ,-15,F ,2,67,64,68,74,273,24,32,8
T21 ,1,,Troy Merritt    ,-14,F ,-4,68,66,72,68,274,T66 ,T121 ,55
T21 ,1,,Russell Knox  ,-14,F ,-4,70,69,67,68,274,38,T72 ,34
T21 ,5,,Anirban Lahiri      ,-14,F ,-2,70,67,67,70,274,T66 ,T121 ,55
T24 ,8,,Hudson Swafford  ,-13,F ,-5,70,69,69,67,275,30,T41 ,11
T24 ,5,,Paul Casey  ,-13,F ,-4,69,69,69,68,275,T70 ,T121 ,51
T24 ,2,,Sergio Garcia      ,-13,F ,-3,70,67,69,69,275,T70 ,T121 ,51
T27 ,10,,Brendon De Jonge  ,-12,F ,-5,69,69,71,67,276,26,34,8
T27 ,10,,Scott Hend  ,-12,F* ,-5,67,70,72,67,276,-- ,-- ,-- 
T29 ,8,,Ben Crane  ,-11,F* ,-4,71,70,68,68,277,42,T64 ,22
T29 ,8,,David Hearn    ,-11,F* ,-4,70,65,74,68,277,37,T52 ,15
T29 ,3,,Kevin Chappell    ,-11,F ,-3,69,69,70,69,277,69,T103 ,34
T29 ,-- ,,Chad Campbell  ,-11,F ,-2,68,70,69,70,277,21,23,2
T29 ,19,,Marc Leishman    ,-11,F* ,-6,71,70,70,66,277,79,T121 ,42
T29 ,9,,Paul Peterson  ,-11,F ,E ,70,67,68,72,277,-- ,-- ,-- 
T35 ,2,,Ryo Ishikawa  ,-10,F ,-3,69,69,71,69,278,58,T89 ,31
T35 ,24,,Jason Dufner    ,-10,F* ,-7,69,75,69,65,278,84,T121 ,37
T37 ,8,,Cameron Smith  ,-9,F* ,-3,66,72,72,69,279,T92 ,T121 ,29
T37 ,11,,Matt Jones    ,-9,F* ,-4,67,71,73,68,279,T92 ,T121 ,29
T37 ,15,,Kevin Kisner  ,-9,F ,1,71,65,70,73,279,43,T52 ,9
T37 ,15,,Colt Knost  ,-9,F* ,-5,70,70,72,67,279,53,75,22
T37 ,15,,John Senden  ,-9,F* ,-5,70,70,72,67,279,36,T36 ,-- 
T37 ,21,,Jason Gore    ,-9,F ,3,66,68,70,75,279,90,111,21
T43 ,11,,Zac Blair  ,-8,F ,E ,70,71,67,72,280,T99 ,T121 ,22
T43 ,14,,Kyle Reifers  ,-8,F ,1,70,66,71,73,280,23,T16 ,7
T43 ,5,,Harris English  ,-8,F* ,-3,71,71,69,69,280,T99 ,T121 ,22
T43 ,9,,Nick Watney    ,-8,F* ,-4,70,70,72,68,280,29,27,2
T47 ,10,,Henrik Stenson      ,-7,F ,E ,71,67,71,72,281,T104 ,T121 ,17
T47 ,15,,Ben Martin  ,-7,F ,1,70,70,68,73,281,T47 ,T52 ,5
T47 ,15,,Keegan Bradley    ,-7,F ,1,66,70,72,73,281,T104 ,T121 ,17
T47 ,10,,Morgan Hoffmann  ,-7,F* ,E ,67,68,74,72,281,32,28,4
T47 ,5,,Carlos Ortiz  ,-7,F* ,-3,71,74,67,69,281,55,T64 ,9
T47 ,12,,Nick Taylor  ,-7,F* ,-4,74,70,69,68,281,T47 ,T52 ,5
T53 ,8,,Robert Streb  ,-6,F* ,E ,69,69,72,72,282,T114 ,T121 ,7
T53 ,31,,Jon Curran  ,-6,F ,4,69,70,67,76,282,T114 ,T121 ,7
T53 ,11,,Rory Sabbatini    ,-6,F* ,-5,69,69,77,67,282,54,T52 ,2
T56 ,11,,Scott Pinckney  ,-5,F* ,1,69,73,68,73,283,102,95,7
T56 ,8,,Greg Owen  ,-5,F* ,E ,70,72,69,72,283,82,81,1
T56 ,4,,Scott Brown    ,-5,F* ,-1,68,72,72,71,283,119,T112 ,7
T56 ,4,,Gary Woodland  ,-5,F* ,-1,75,68,69,71,283,T122 ,T121 ,1
T56 ,3,,Padraig Harrington  ,-5,F* ,-2,68,72,73,70,283,T122 ,T121 ,1
T56 ,10,,Andrew Dodt  ,-5,F* ,-5,72,70,74,67,283,-- ,-- ,-- 
T56 ,10,,Prayad Marksaeng    ,-5,F* ,-5,72,76,68,67,283,-- ,-- ,-- 
63,11,,Pat Perez  ,-4,F* ,E ,71,69,72,72,284,127,T121 ,6
T64 ,27,,Daniel Berger    ,-3,F* ,4,76,66,67,76,285,57,T41 ,16
T64 ,5,,Ernie Els    ,-3,F* ,E ,72,69,72,72,285,T130 ,T121 ,9
T64 ,6,,Luke Donald  ,-3,F* ,-4,74,73,70,68,285,T130 ,T121 ,9
T64 ,8,,Ben Leong  ,-3,F* ,-6,71,72,76,66,285,-- ,-- ,-- 
T68 ,9,,Danny Chia  ,-2,F* ,1,71,71,71,73,286,-- ,-- ,-- 
T68 ,4,,Chesson Hadley  ,-2,F* ,-1,71,71,73,71,286,T125 ,T103 ,22
T68 ,2,,Jerry Kelly    ,-2,F* ,-2,73,72,71,70,286,96,T76 ,20
71,1,,Steven Bowditch  ,E ,F* ,-3,73,73,73,69,288,134,119,15
72,6,,Matt Every  ,1,F* ,1,72,72,72,73,289,137,T121 ,16
73,1,,SSP Chawrasia  ,3,F* ,-1,72,74,74,71,291,-- ,-- ,-- 
74,1,,Mardan Mamat  ,5,F* ,E ,74,73,74,72,293,-- ,-- ,-- 
T75 ,4,,Richard T. Lee  ,7,F* ,5,71,77,70,77,295,-- ,-- ,-- 
T75 ,-- ,,Arie Ahmad Irawan  ,7,F* ,2,75,74,72,74,295,-- ,-- ,-- 
77,-- ,,John Peterson    ,10,F* ,-6,80,74,78,66,298,T141 ,T121 ,20
WD ,-- ,,Danny Lee  ,-- ,-- ,-- ,73,68,40,-- ,181,146,T121 ,25
