POS,UP/DOWN,COUNTRY,PLAYER NAME,TOTAL,THRU,ROUND,R1,R2,R3,R4,STROKES,PROJ,STARTING,UP/DOWN,,,,,,,,,,,,,,,,
1,27,,Smylie Kaufman    ,-16,F ,-10,67,72,68,61,268,1,T10 ,9,,,,,,,,,,,,,,,,
T2 ,14,,Patton Kizzire    ,-15,F ,-8,65,69,72,63,269,T8 ,T82 ,74,,,,,,,,,,,,,,,,
T2 ,4,,Cameron Tringale    ,-15,F ,-5,68,65,70,66,269,5,T63 ,58,,,,,,,,,,,,,,,,
T2 ,4,,Jason Bohn      ,-15,F ,-5,68,66,69,66,269,4,T3 ,1,,,,,,,,,,,,,,,,
T2 ,4,,Alex Cejka    ,-15,F ,-5,67,70,66,66,269,T8 ,T82 ,74,,,,,,,,,,,,,,,,
T2 ,1,,Kevin Na      ,-15,F ,-4,68,66,68,67,269,3,2,1,,,,,,,,,,,,,,,,
T2 ,1,,Brett Stegmaier    ,-15,F ,-2,66,66,68,69,269,7,T73 ,66,,,,,,,,,,,,,,,,
T8 ,30,,William McGirt    ,-14,F ,-9,66,73,69,62,270,12,T30 ,18,,,,,,,,,,,,,,,,
T8 ,5,,Chad Campbell    ,-14,F ,-3,65,67,70,68,270,23,T82 ,59,,,,,,,,,,,,,,,,
10,1,,Russell Henley  ,-13,F ,-5,68,69,68,66,271,13,T41 ,28,,,,,,,,,,,,,,,,
T11 ,-- ,,Nick Watney    ,-12,F ,-4,67,66,72,67,272,27,T63 ,36,,,,,,,,,,,,,,,,
T11 ,9,,Morgan Hoffmann    ,-12,F ,E ,66,66,69,71,272,28,T82 ,54,,,,,,,,,,,,,,,,
T13 ,15,,Patrick Rodgers      ,-11,F ,-5,65,71,71,66,273,10,T6 ,4,,,,,,,,,,,,,,,,
T13 ,3,,Brendon de Jonge    ,-11,F ,-4,67,66,73,67,273,34,T82 ,48,,,,,,,,,,,,,,,,
T13 ,2,,Jamie Lovemark  ,-11,F ,-3,70,69,66,68,273,25,T48 ,23,,,,,,,,,,,,,,,,
T16 ,12,,John Senden  ,-10,F ,-4,70,65,72,67,274,T36 ,T82 ,46,,,,,,,,,,,,,,,,
T16 ,12,,Fabian Gomez  ,-10,F ,-4,69,68,70,67,274,14,T17 ,3,,,,,,,,,,,,,,,,
T16 ,-- ,,Tony Finau    ,-10,F ,-3,69,71,66,68,274,T21 ,T32 ,11,,,,,,,,,,,,,,,,
T16 ,-- ,,Ryan Palmer    ,-10,F ,-3,65,69,72,68,274,T36 ,T82 ,46,,,,,,,,,,,,,,,,
T16 ,-- ,,Camilo Villegas  ,-10,F ,-3,67,69,70,68,274,T36 ,T82 ,46,,,,,,,,,,,,,,,,
T16 ,-- ,,Kevin Streelman    ,-10,F ,-3,68,67,71,68,274,24,T41 ,17,,,,,,,,,,,,,,,,
T16 ,-- ,,Scott Stallings  ,-10,F ,-3,68,71,67,68,274,T36 ,T82 ,46,,,,,,,,,,,,,,,,
T16 ,-- ,,Michael Kim  ,-10,F ,-3,70,67,69,68,274,33,T60 ,27,,,,,,,,,,,,,,,,
T16 ,5,,Daniel Summerhays  ,-10,F ,-2,68,65,72,69,274,T21 ,T32 ,11,,,,,,,,,,,,,,,,
T25 ,29,,Spencer Levin  ,-9,F ,-6,71,65,74,65,275,32,T48 ,16,,,,,,,,,,,,,,,,
T25 ,21,,Rory Sabbatini    ,-9,F ,-5,66,72,71,66,275,T52 ,T82 ,30,,,,,,,,,,,,,,,,
T25 ,13,,Ricky Barnes    ,-9,F ,-4,65,71,72,67,275,T52 ,T82 ,30,,,,,,,,,,,,,,,,
T25 ,3,,Scott Piercy  ,-9,F ,-3,72,67,68,68,275,T52 ,T82 ,30,,,,,,,,,,,,,,,,
T25 ,3,,Rickie Fowler      ,-9,F ,-3,72,65,70,68,275,T52 ,T82 ,30,,,,,,,,,,,,,,,,
T25 ,9,,Si Woo Kim  ,-9,F ,-2,69,66,71,69,275,T52 ,T82 ,30,,,,,,,,,,,,,,,,
T25 ,9,,David Hearn    ,-9,F ,-2,64,70,72,69,275,T52 ,T82 ,30,,,,,,,,,,,,,,,,
T25 ,9,,Kevin Kisner  ,-9,F ,-2,68,71,67,69,275,T52 ,T82 ,30,,,,,,,,,,,,,,,,
T25 ,14,,Ben Martin    ,-9,F ,-1,70,68,67,70,275,T52 ,T82 ,30,,,,,,,,,,,,,,,,
T25 ,19,,Nick Taylor    ,-9,F ,1,66,70,67,72,275,T52 ,T82 ,30,,,,,,,,,,,,,,,,
T35 ,3,,D.H. Lee  ,-8,F ,-3,65,75,68,68,276,47,T54 ,7,,,,,,,,,,,,,,,,
T35 ,3,,Steve Marino    ,-8,F ,-3,66,71,71,68,276,T64 ,T82 ,18,,,,,,,,,,,,,,,,
